Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
102,PMR5-02,446.056250,,0.000000,TSQL,71.9,71.9,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
103,PMR5-03,446.056250,,0.000000,TSQL,74.4,74.4,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
104,PMR5-04,446.056250,,0.000000,TSQL,77.0,77.0,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
105,PMR5-05,446.056250,,0.000000,TSQL,79.7,79.7,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
106,PMR5-06,446.056250,,0.000000,TSQL,82.5,82.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
107,PMR5-07,446.056250,,0.000000,TSQL,85.4,85.4,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
108,PMR5-08,446.056250,,0.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
109,PMR5-09,446.056250,,0.000000,TSQL,91.5,91.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
110,PMR5-10,446.056250,,0.000000,TSQL,94.8,94.8,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
111,PMR5-11,446.056250,,0.000000,TSQL,97.4,97.4,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
112,PMR5-12,446.056250,,0.000000,TSQL,100.0,100.0,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
113,PMR5-13,446.056250,,0.000000,TSQL,103.5,103.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
114,PMR5-14,446.056250,,0.000000,TSQL,107.2,107.2,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
115,PMR5-15,446.056250,,0.000000,TSQL,110.9,110.9,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
116,PMR5-16,446.056250,,0.000000,TSQL,114.8,114.8,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
117,PMR5-17,446.056250,,0.000000,TSQL,118.8,118.8,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
118,PMR5-18,446.056250,,0.000000,TSQL,123.0,123.0,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
119,PMR5-19,446.056250,,0.000000,TSQL,127.3,127.3,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
120,PMR5-20,446.056250,,0.000000,TSQL,131.8,131.8,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
121,PMR5-21,446.056250,,0.000000,TSQL,136.5,136.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
122,PMR5-22,446.056250,,0.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
123,PMR5-23,446.056250,,0.000000,TSQL,146.2,146.2,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
124,PMR5-24,446.056250,,0.000000,TSQL,151.4,151.4,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
125,PMR6,446.068750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
126,PMR6-01,446.068750,,0.000000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
127,PMR6-02,446.068750,,0.000000,TSQL,71.9,71.9,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
128,PMR6-03,446.068750,,0.000000,TSQL,74.4,74.4,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
129,PMR6-04,446.068750,,0.000000,TSQL,77.0,77.0,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
130,PMR6-05,446.068750,,0.000000,TSQL,79.7,79.7,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
131,PMR6-06,446.068750,,0.000000,TSQL,82.5,82.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
132,PMR6-07,446.068750,,0.000000,TSQL,85.4,85.4,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
133,PMR6-08,446.068750,,0.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
134,PMR6-09,446.068750,,0.000000,TSQL,91.5,91.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
135,PMR6-10,446.068750,,0.000000,TSQL,94.8,94.8,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
136,PMR6-11,446.068750,,0.000000,TSQL,97.4,97.4,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
137,PMR6-12,446.068750,,0.000000,TSQL,100.0,100.0,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
138,PMR6-13,446.068750,,0.000000,TSQL,103.5,103.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
139,PMR6-14,446.068750,,0.000000,TSQL,107.2,107.2,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
140,PMR6-15,446.068750,,0.000000,TSQL,110.9,110.9,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
141,PMR6-16,446.068750,,0.000000,TSQL,114.8,114.8,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
142,PMR6-17,446.068750,,0.000000,TSQL,118.8,118.8,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
143,PMR6-18,446.068750,,0.000000,TSQL,123.0,123.0,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
144,PMR6-19,446.068750,,0.000000,TSQL,127.3,127.3,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
145,PMR6-20,446.068750,,0.000000,TSQL,131.8,131.8,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
146,PMR6-21,446.068750,,0.000000,TSQL,136.5,136.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
147,PMR6-22,446.068750,,0.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
148,PMR6-23,446.068750,,0.000000,TSQL,146.2,146.2,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
149,PMR6-24,446.068750,,0.000000,TSQL,151.4,151.4,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
150,PMR7,446.081250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
151,PMR7-01,446.081250,,0.000000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
152,PMR7-02,446.081250,,0.000000,TSQL,71.9,71.9,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
153,PMR7-03,446.081250,,0.000000,TSQL,74.4,74.4,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
154,PMR7-04,446.081250,,0.000000,TSQL,77.0,77.0,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
155,PMR7-05,446.081250,,0.000000,TSQL,79.7,79.7,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
156,PMR7-06,446.081250,,0.000000,TSQL,82.5,82.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
157,PMR7-07,446.081250,,0.000000,TSQL,85.4,85.4,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
158,PMR7-08,446.081250,,0.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
159,PMR7-09,446.081250,,0.000000,TSQL,91.5,91.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
160,PMR7-10,446.081250,,0.000000,TSQL,94.8,94.8,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
161,PMR7-11,446.081250,,0.000000,TSQL,97.4,97.4,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
162,PMR7-12,446.081250,,0.000000,TSQL,100.0,100.0,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
163,PMR7-13,446.081250,,0.000000,TSQL,103.5,103.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
164,PMR7-14,446.081250,,0.000000,TSQL,107.2,107.2,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
165,PMR7-15,446.081250,,0.000000,TSQL,110.9,110.9,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
166,PMR7-16,446.081250,,0.000000,TSQL,114.8,114.8,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
167,PMR7-17,446.081250,,0.000000,TSQL,118.8,118.8,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
168,PMR7-18,446.081250,,0.000000,TSQL,123.0,123.0,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
169,PMR7-19,446.081250,,0.000000,TSQL,127.3,127.3,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
170,PMR7-20,446.081250,,0.000000,TSQL,131.8,131.8,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
171,PMR7-21,446.081250,,0.000000,TSQL,136.5,136.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
172,PMR7-22,446.081250,,0.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
173,PMR7-23,446.081250,,0.000000,TSQL,146.2,146.2,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
174,PMR7-24,446.081250,,0.000000,TSQL,151.4,151.4,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
175,PMR8,446.093750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
176,PMR8-01,446.093750,,0.000000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,NFM,6.25,,5.0W,,,,,
